Time: 2020-11-18T17:05:20.012194300, Number ID: 1, Price: 191, Quantity: 26
Time: 2020-11-18T17:05:20.012194300, Number ID: 2, Price: 191, Quantity: 9
Time: 2020-11-18T17:05:20.012194300, Number ID: 3, Price: 191, Quantity: 29
Time: 2020-11-18T17:05:20.012194300, Number ID: 4, Price: 191, Quantity: 3
Time: 2020-11-18T17:05:20.012194300, Number ID: 5, Price: 191, Quantity: 18
Time: 2020-11-18T17:05:20.012194300, Number ID: 6, Price: 191, Quantity: 26
Time: 2020-11-18T17:05:20.012194300, Number ID: 7, Price: 191, Quantity: 23
Time: 2020-11-18T17:05:20.012194300, Number ID: 8, Price: 191, Quantity: 10
Time: 2020-11-18T17:05:20.012194300, Number ID: 9, Price: 191, Quantity: 28
Time: 2020-11-18T17:05:20.012194300, Number ID: 10, Price: 191, Quantity: 8
Time: 2020-11-18T17:05:20.012194300, Number ID: 11, Price: 191, Quantity: 21
Time: 2020-11-18T17:05:20.012194300, Number ID: 12, Price: 191, Quantity: 13
Time: 2020-11-18T17:05:20.012194300, Number ID: 13, Price: 191, Quantity: 18
Time: 2020-11-18T17:05:20.012194300, Number ID: 14, Price: 191, Quantity: 29
Time: 2020-11-18T17:05:20.012194300, Number ID: 15, Price: 191, Quantity: 20
Time: 2020-11-18T17:05:20.012194300, Number ID: 16, Price: 191, Quantity: 11
Time: 2020-11-18T17:05:20.012194300, Number ID: 17, Price: 191, Quantity: 38
Time: 2020-11-18T17:05:20.012194300, Number ID: 18, Price: 190.99, Quantity: 3
Time: 2020-11-18T17:05:20.012194300, Number ID: 19, Price: 190.99, Quantity: 21
Time: 2020-11-18T17:05:20.012194300, Number ID: 20, Price: 190.99, Quantity: 6
Time: 2020-11-18T17:05:20.012194300, Number ID: 21, Price: 190.99, Quantity: 32
Time: 2020-11-18T17:05:20.012194300, Number ID: 22, Price: 190.99, Quantity: 10
Time: 2020-11-18T17:05:20.012194300, Number ID: 23, Price: 190.99, Quantity: 23
Time: 2020-11-18T17:05:20.012194300, Number ID: 24, Price: 190.99, Quantity: 17
Time: 2020-11-18T17:05:20.012194300, Number ID: 25, Price: 190.99, Quantity: 7
Time: 2020-11-18T17:05:20.012194300, Number ID: 26, Price: 190.99, Quantity: 25
Time: 2020-11-18T17:05:20.012194300, Number ID: 27, Price: 190.99, Quantity: 10
Time: 2020-11-18T17:05:20.012194300, Number ID: 28, Price: 190.99, Quantity: 30
Time: 2020-11-18T17:05:20.012194300, Number ID: 29, Price: 190.99, Quantity: 6
Time: 2020-11-18T17:05:20.012194300, Number ID: 30, Price: 190.99, Quantity: 42
Time: 2020-11-18T17:05:20.012194300, Number ID: 31, Price: 190.99, Quantity: 1
Time: 2020-11-18T17:05:20.012194300, Number ID: 32, Price: 190.99, Quantity: 26
Time: 2020-11-18T17:05:20.012194300, Number ID: 33, Price: 190.99, Quantity: 24
Time: 2020-11-18T17:05:20.012194300, Number ID: 34, Price: 190.98, Quantity: 17
Time: 2020-11-18T17:05:20.012194300, Number ID: 35, Price: 190.98, Quantity: 17
Time: 2020-11-18T17:05:20.012194300, Number ID: 36, Price: 190.98, Quantity: 5
Time: 2020-11-18T17:05:20.012194300, Number ID: 37, Price: 190.98, Quantity: 38
Time: 2020-11-18T17:05:20.012194300, Number ID: 38, Price: 190.98, Quantity: 7
Time: 2020-11-18T17:05:20.012194300, Number ID: 39, Price: 190.98, Quantity: 14
